formula,target
Ba0.15829881 Nb0.13127589 O0.26255179 F0.44787351,0
K0.18221367 V0.13458279 B0.10225589 O0.58094765,1
Na0.37649598 Al0.06311708 Ge0.09248778 O0.46789916,1
Ga0.00037219 Ge0.33302318 O0.66660464,0
Li0.23496482 Ga0.01863619 Si0.20032077 O0.54607823,1
Ca0.11671398 V0.03008945 B0.26450358 O0.58869298,1
Ba0.07938874 Ti0.01720764 B0.31583984 O0.58756378,1
Li0.24547337 Zn0.04550168 P0.15451045 O0.5545145,1
Na0.3517525 Zn0.0010093 Ge0.15678421 O0.49045398,0
Na0.21546301 Sb0.05629375 W0.1070849 O0.40569533 F0.21546301,0
Mn0.12543085 P0.17820213 O0.69636702,1
Bi0.0178345 B0.3821655 O0.6,1
Sr0.01674196 Mg0.17302978 B0.24818261 O0.56204565,1
Si0.10785541 P0.18261829 W0.00931744 O0.70020886,0
Li0.38711131 Nb0.03730088 Si0.09625999 O0.47932783,1
K0.33940195 Ge0.15034571 Pb0.01992997 O0.49032237,0
K0.24230889 Be0.09034328 Si0.15195003 O0.51539779,0
Sr0.09908748 Th0.01573964 Ge0.25153537 O0.63363751,0
Ga0.1766992 Ag0.01903609 As0.15134225 O0.65292246,0
K0.04728924 Ga0.03120182 B0.34042464 O0.58108431,0
Zr0.0057884 Bi0.02207491 B0.370979 O0.60115768,1
Ga0.11991649 B0.2489234 Pb0.03895013 O0.59220997,0
Ca0.06215538 V0.00051794 B0.34955058 O0.5877761,1
K0.07080577 Ba0.12324127 Nb0.12216616 O0.24433233 F0.43945447,0
Ga0.07556753 B0.1006796 Pb0.27969108 O0.54406178,1
Si0.08818087 Ge0.03375603 B0.25367571 O0.62438738,0
La0.07835229 Zn0.03799979 B0.29124788 O0.59240004,1
V0.13552976 Ge0.17521528 O0.68925496,1
Ag0.08876913 B0.13370215 P0.15216884 O0.62535989,1
Ba0.02223554 Si0.07565583 P0.20816041 O0.69394822,1
Ba0.11328369 Na0.13617281 Y0.05439683 As0.0680864 O0.23830242 F0.38975786,1
Cd0.15557978 Ge0.22961348 O0.61480674,1
Be0.21019185 Zn0.08132105 B0.16678968 O0.54169742,0
La0.01064839 Tl0.05974488 Si0.29458724 O0.6350195,0
Sr0.0230504 Bi0.03782232 B0.34373736 O0.59538992,1
Na0.38173923 V0.00566571 P0.11644605 O0.49614901,0
Cd0.00033238 Si0.25075715 Pb0.1235319 O0.62537857,1
Si0.16769914 P0.14197216 O0.69032869,0
Mg0.23627077 Zn0.02599446 Si0.15848985 O0.57924492,0
Ba0.02041133 V0.21720219 B0.07958787 O0.68279861,1
Nb0.15967817 Ge0.12168722 Pb0.03803237 O0.68060224,0
Sr0.12186294 Al0.24659103 Si0.04659885 O0.58494718,0
Sr0.04164848 V0.09168561 B0.23832136 O0.62834455,0
Ba0.11847226 Sn0.03128258 Ge0.22306924 O0.62717591,1
Tl0.04838483 B0.35803066 Pb0.01617305 O0.57741146,1
La0.02829156 Ti0.26929982 Nb0.03467761 O0.66773101,0
Rb0.18902201 Sn0.05486669 Ge0.18395564 O0.57215566,1
Na0.37858363 B0.17284982 O0.44856655,1
Al0.10638512 Ge0.1772292 Pb0.02138597 O0.37584436 F0.31915536,0
Nd0.02110713 Fe0.02057811 B0.35831476 O0.6,1
Y0.00911626 Ge0.2994205 Pb0.03947393 O0.65198931,0
Ca0.18149491 Ti0.12679703 P0.07331974 O0.61838832,0
Li0.13427379 Zn0.05053053 P0.19929379 O0.6159019,1
Li0.36257247 Ge0.1520471 O0.48538043,0
Li0.33635405 Tl0.00884913 B0.19287809 O0.46191873,0
Na0.10051547 B0.24914022 P0.06467893 O0.58566538,0
Li0.26571272 P0.14238361 W0.02577207 O0.5661316,1
Sr0.10701746 Li0.14976274 Ge0.18710699 O0.55611281,1
Ga0.251037 Ge0.11242348 Pb0.01756853 O0.61897099,0
Ba0.01076662 Li0.53837109 Nb0.04883146 O0.40203082,0
K0.1138508 Ta0.03740426 Si0.23276963 O0.61597531,1
Rb0.13924805 Sn0.05709495 Ge0.20661436 O0.59704264,1
La0.04799675 Si0.03711962 P0.21961408 O0.69526956,0
Li0.42968561 Mn0.02445072 P0.08060555 O0.46525812,1
Ca0.06697614 Sb0.04452344 P0.21563975 O0.67286067,1
Cu0.18108749 B0.18547299 Mo0.04353564 O0.58990388,0
K0.17105436 Na0.07650532 Si0.20955349 O0.54288682,1
K0.28763623 Al0.03936742 P0.13432203 O0.53867432,0
Sr0.14616496 Si0.16929462 B0.07991449 O0.60462593,0
Mg0.2131987 Al0.03324017 B0.19620087 O0.55736026,1
Li0.28954367 La0.05391133 Si0.14363539 O0.51290961,0
Zn0.02605376 Si0.17650157 P0.11953936 O0.67790531,1
Na0.16907994 Zn0.08731429 B0.2287006 O0.51490517,1
Nb0.04852862 Si0.24273776 Pb0.05096827 O0.65776535,0
Ba0.06683272 Si0.27179456 W0.01273772 O0.648635,0
K0.34653025 Ti0.05159428 Si0.10847392 O0.49340154,1
Ca0.08285805 Fe0.11404876 Si0.20206212 O0.60103106,1
Ba0.02281511 Ca0.23029344 Si0.1645943 O0.58229715,0
Ca0.10503797 Fe0.29291812 Bi0.0230515 O0.57899241,1
Sm0.02703095 Al0.05313979 B0.31982926 O0.6,1
Cu0.28943966 Bi0.12013704 Pb0.06038904 O0.53003426,0
K0.2859589 P0.10278969 W0.05282443 O0.55842697,0
Ba0.03714118 Al0.07900991 B0.29127715 O0.59257176,1
Y0.05669076 Al0.05669076 Zn0.01489893 Si0.22891611 O0.64280344,1
Na0.23858384 Ge0.18041148 Pb0.05044489 O0.53055978,1
Al0.27997451 Si0.03417803 P0.05643704 O0.62941042,0
Ba0.11033766 Ga0.22620166 Si0.07127351 O0.59218717,0
Y0.03109278 Al0.10653817 Si0.21864088 O0.64372818,1
K0.32570262 Zn0.00062916 Si0.17006259 O0.50360564,0
Ga0.03174686 Si0.20143782 Pb0.15815969 O0.60865563,0
Ca0.12892377 Ti0.09142545 P0.13367889 O0.64597189,0
Si0.23747438 Pb0.13840573 I0.02153082 O0.60258907,1
Cd0.14917988 B0.09171786 P0.13495588 O0.62414638,0
La0.07963265 Ti0.18563315 Nb0.06971969 O0.66501451,0
Na0.21518697 Ti0.21141992 Ga0.01718392 O0.5562092,0
Co0.12334676 B0.17763499 P0.08834829 O0.61066996,0
Ca0.21607118 Ge0.0003828 B0.2266837 O0.55686232,0
Ba0.07619149 Ge0.22891893 Pb0.08043012 O0.61445946,0
Cu0.36548975 Mo0.07376486 P0.02386296 I0.14637115 O0.39051128,1
Ge0.20777325 Sb0.15035852 Pb0.00039198 O0.64147625,0
Ba0.01386761 Ge0.32408826 O0.66204413,1
Na0.17448905 In0.01520869 Si0.2334149 O0.57688736,1
Ca0.13286139 Ta0.10321691 P0.10657658 O0.65734512,0
Zn0.15509904 Cd0.04105562 B0.24307627 O0.56076907,0
Cd0.1252943 B0.28395788 Pb0.01975836 O0.57098947,0
Gd0.02055504 Al0.11053564 B0.26890932 O0.6,1
Na0.268585 Si0.15318878 Bi0.05502247 O0.52320376,1
Tl0.07559618 Bi0.01937317 B0.33526913 O0.56976153,1
Sr0.04535332 Nb0.00137053 Ge0.30149883 O0.65177731,1
Sr0.02015094 Bi0.02635444 B0.35752481 O0.59596981,1
Ge0.25257057 Bi0.0086559 Pb0.11032428 O0.62844926,1
Zn0.29017136 P0.09118896 W0.02512398 O0.5935157,0
Li0.31467645 Cd0.02903385 B0.18796704 O0.46832265,1
Si0.06493913 B0.2241776 Pb0.12236931 O0.58851396,1
Cd0.12001108 P0.21713653 O0.6628524,1
Tl0.35561385 Ge0.00675614 Bi0.17852432 O0.45910569,0
K0.13775274 B0.31734836 O0.54489891,1
Na0.20733703 B0.27529246 O0.51584389 F0.00152662,1
