formula,target
Cd0.26871401 B0.0268714 Pb0.19769674 O0.50671785,0
Ag0.16717539 B0.29913125 Cl0.00281756 O0.53087579,0
V0.26771411 Zn0.01263093 B0.0150955 O0.70455946,1
Li0.25898123 B0.11420912 Mo0.08150134 O0.54530831,0
Li0.34087555 V0.11116576 B0.0398426 O0.50811608,0
Li0.10008294 Zn0.0945535 B0.26430744 O0.54105612,1
Ba0.02600932 Ca0.13858696 Ge0.22360248 O0.61180124,1
Ca0.05938697 Be0.00598659 B0.34770115 O0.58692529,1
Zn0.23503097 B0.1871989 W0.0154852 O0.56228493,0
Zn0.22244898 B0.16870748 Mo0.03333333 O0.5755102,1
Ba0.12908618 Ca0.05664933 Ge0.03677563 B0.1846211 O0.47956909 F0.11329866,1
Zn0.0508277 B0.33620891 Mo0.01445558 O0.59850781,0
Ba0.14616126 B0.23835528 Pb0.05589464 O0.55958882,1
Zr0.01223608 Tl0.17514395 B0.28023033 O0.53238964,1
Li0.25398571 B0.05497526 Mo0.12039582 O0.57064321,0
Zn0.04382958 B0.21645446 Mo0.09280118 O0.64691479,0
Ba0.01244813 La0.20705394 B0.18298755 O0.59751037,1
Be0.15236629 Cd0.15621393 B0.15313582 O0.53828396,0
Li0.25257596 B0.13896962 Mo0.06842801 O0.54002642,0
Ba0.12297825 B0.26101506 Mo0.02537646 O0.59063023,0
Ti0.0226642 Tl0.11100833 B0.30619796 O0.56012951,1
Sr0.04753199 La0.15904936 B0.20292505 O0.5904936,1
Sr0.04763028 Ca0.01202547 B0.35227541 O0.58806885,1
Ba0.1822695 Ti0.11312057 B0.11843972 O0.58617021,0
Sr0.07296242 Al0.09760859 B0.24402147 O0.58540752,1
Ba0.13279133 Ca0.06078204 Ge0.0559427 B0.15369725 O0.47522261 F0.12156407,1
Li0.25634518 B0.16666667 Mo0.04970389 O0.52728426,0
Zr0.00480769 Tl0.2555668 B0.24089069 O0.49873482,0
Zr0.02537823 Tl0.1693509 B0.26793558 O0.53733529,0
La0.08590774 Th0.02898857 B0.27930597 O0.60579771,1
Li0.26766986 V0.12767898 B0.06064751 O0.54400365,0
Ba0.0986163 V0.19767186 B0.04436635 O0.65934549,1
Li0.14215801 B0.30855278 Pb0.00769052 O0.54159869,1
Ba0.12852459 Ca0.09027322 Ge0.0852459 B0.08655738 O0.42885246 F0.18054645,1
Ba0.1319653 Ca0.0348682 Ge0.01418085 B0.2355689 O0.51368035 F0.0697364,1
La0.07672271 Mg0.06133081 B0.27421265 O0.58773384,1
Ge0.16257166 B0.01228501 Pb0.24078624 O0.58435708,1
Li0.25298805 B0.23705179 Sb0.00796813 O0.50199203,0
Tl0.17154567 Cd0.09689696 B0.21955504 O0.51200234,0
Sr0.10357328 Mg0.03469705 Al0.06835836 B0.20714656 O0.51683066 F0.0693941,1
Bi0.1997998 B0.2002002 O0.6,1
Ca0.11158569 B0.31073145 O0.57768286,0
V0.18977384 Zn0.13962635 B0.02261554 O0.64798427,1
Nd0.10816487 Cu0.10422683 B0.20845366 O0.57915463,0
K0.17591722 B0.29444967 O0.52963311,1
Zr0.02283539 Tl0.14367269 B0.28639391 O0.547098,0
La0.0792 In0.0208 B0.3 O0.6,0
K0.12511251 In0.06255626 B0.26237624 O0.549955,0
K0.38157895 Ti0.13157895 B0.01315789 O0.47368421,1
Zr0.01606778 Cd0.14285714 B0.26643295 O0.57464213,0
Zn0.30769231 B0.15384615 O0.53846154,0
Y0.1008 Al0.1196 B0.1796 O0.6,1
Ba0.03981154 B0.27467609 Mo0.05842167 O0.62709069,1
Ba0.0395424 B0.16861477 Mo0.12484457 O0.66699826,1
Ba0.14071856 B0.22355289 Pb0.07984032 O0.55588822,1
Li0.03391232 In0.01861042 B0.36104218 O0.58643507,0
Ba0.31942078 Ti0.08560477 B0.04173765 O0.5532368,0
Li0.21975181 B0.24870734 Pb0.02430196 O0.50723888,0
K0.00805549 B0.36562989 Pb0.03692101 O0.5893936,1
Sr0.15942029 V0.02898551 B0.23188406 O0.57971014,1
Ba0.09580553 La0.16873213 B0.11630124 O0.42755005 F0.19161106,1
Ba0.04468133 Al0.11567249 B0.24858244 O0.59106373,0
Li0.17447917 V0.08940972 B0.17013889 O0.56597222,1
La0.04320988 Th0.01440329 B0.33950617 O0.60288066,0
Mn0.05836397 V0.02619485 B0.31663603 O0.59880515,1
K0.03701101 Mg0.04474116 B0.34200047 O0.57624736,0
Li0.41453719 B0.14310051 Mo0.00511073 O0.43725156,0
Sr0.11229947 Bi0.12032086 B0.18983957 O0.57754011,1
Zr0.1029211 Al0.18018018 Si0.08026208 O0.63663664,0
Zn0.11699541 B0.30640367 O0.57660092,0
Sr0.13253012 Zn0.02439024 B0.27446371 O0.56861593,1
Co0.23901099 B0.20879121 O0.5521978,1
Ba0.10275268 Ca0.10716537 Ge0.02038243 B0.16474049 O0.39062828 F0.21433074,1
Zn0.06888361 B0.27078385 Pb0.09263658 O0.56769596,0
Zn0.21257779 B0.22993777 O0.55748444,0
Cd0.12349067 Ge0.00082327 B0.30021954 O0.57546652,1
Ba0.01601624 B0.259418 Mo0.07985563 O0.64471013,1
Ba0.12957825 Bi0.06881243 B0.22752497 O0.57408435,0
K0.00766593 Bi0.16098447 B0.23441598 O0.59693363,1
Zn0.10283567 Cd0.13324223 B0.21113768 O0.55278442,1
Ga0.0404 B0.3596 O0.6,0
Li0.16333178 B0.30200093 O0.53466729,1
Ba0.05875441 Bi0.26886016 B0.08413631 O0.58824912,0
Sr0.04468133 B0.36425493 O0.59106373,1
Zn0.21204188 B0.23036649 O0.55759162,0
Sr0.11688312 V0.05194805 B0.23376623 O0.5974026,1
Zr0.0316181 B0.23186609 Pb0.16274024 O0.57377557,0
B0.36971047 Pb0.03786192 O0.59242762,0
K0.0837469 B0.2251861 Pb0.1557072 O0.5353598,0
Ca0.12228349 Zn0.08498216 B0.23418748 O0.55854687,0
Sr0.08219178 B0.1799624 Mo0.09642761 O0.64141821,0
K0.10460705 Ti0.12520325 B0.18699187 O0.58319783,0
Li0.02038736 Nd0.04118247 B0.34658512 O0.59184506,1
La0.0648 B0.3352 O0.6,0
Si0.10526316 Ge0.05263158 B0.21052632 O0.63157895,0
La0.04804805 Ti0.12562563 B0.2012012 O0.62512513,0
V0.11632119 Cd0.04085329 B0.2044677 O0.63835782,1
Ba0.21322804 Ca0.00131622 B0.22836459 O0.55709115,0
Ge0.10686695 B0.02317597 Pb0.31072961 O0.55922747,0
Li0.21279431 V0.10217681 B0.12927588 O0.555753,1
K0.17364939 Ti0.1022602 B0.17309813 O0.55099228,0
K0.04171011 Bi0.20938478 B0.16558916 O0.58331595,0
Sr0.14265335 Al0.05763195 B0.22824536 O0.57146933,1
Si0.13888889 Ge0.05555556 B0.16666667 O0.63888889,0
Cd0.14285714 B0.28571429 O0.57142857,1
Zn0.16122779 Cd0.04394184 B0.2358643 O0.55896607,1
Sr0.04519646 La0.09266409 B0.27117874 O0.59096071,1
Sr0.17908082 Ti0.02377179 B0.22820919 O0.56893819,0
Ba0.07247146 Ca0.03663393 B0.31271569 O0.57817892,1
La0.092 In0.0356 B0.2724 O0.6,0
La0.1144 In0.0472 B0.2384 O0.6,1
Sr0.13366337 Zr0.0730198 B0.20544554 O0.58787129,0
Mg0.0889283 Bi0.09171523 B0.23714213 O0.58221434,1
Sr0.17744407 B0.25804474 O0.56451119,1
